Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                   mean se_mean   sd      2.5%       25%       50%       75%
a1[1]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a1[2]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a1[3]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a1[4]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a1[5]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a2[1]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a2[2]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a2[3]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a2[4]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a2[5]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[1,1]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[1,2]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
a3[1,3]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[1,4]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.00
a3[1,5]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[2,1]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[2,2]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[2,3]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[2,4]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
a3[2,5]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
a3[3,1]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[3,2]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[3,3]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[3,4]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[3,5]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[4,1]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[4,2]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[4,3]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[4,4]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[4,5]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[5,1]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[5,2]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[5,3]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a3[5,4]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
a3[5,5]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a4[1]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a4[2]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a4[3]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a4[4]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
a4[5]              0.00    0.00 0.01     -0.02     -0.01      0.00      0.01
b1[1,1]            0.03    0.00 0.01      0.01      0.02      0.03      0.03
b1[1,2]            0.01    0.00 0.01     -0.01      0.01      0.01      0.02
b1[1,3]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
b1[1,4]           -0.02    0.00 0.01     -0.03     -0.02     -0.02     -0.01
b1[1,5]           -0.01    0.00 0.01     -0.03     -0.02     -0.01      0.00
b1[1,6]            0.02    0.00 0.01      0.00      0.01      0.02      0.03
b1[1,7]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.00
b1[1,8]           -0.02    0.00 0.01     -0.03     -0.02     -0.02     -0.01
b1[1,9]           -0.02    0.00 0.01     -0.04     -0.02     -0.02     -0.01
b1[2,1]            0.03    0.00 0.01      0.01      0.02      0.03      0.03
b1[2,2]            0.01    0.00 0.01     -0.01      0.01      0.01      0.02
b1[2,3]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
b1[2,4]           -0.02    0.00 0.01     -0.04     -0.02     -0.02     -0.01
b1[2,5]           -0.01    0.00 0.01     -0.03     -0.02     -0.01      0.00
b1[2,6]            0.02    0.00 0.01      0.00      0.01      0.02      0.03
b1[2,7]            0.00    0.00 0.01     -0.02     -0.01      0.00      0.00
b1[2,8]           -0.02    0.00 0.01     -0.03     -0.02     -0.02     -0.01
b1[2,9]           -0.02    0.00 0.01     -0.04     -0.02     -0.02     -0.01
b1[3,1]            0.03    0.00 0.01      0.01      0.02      0.03      0.03
b1[3,2]            0.01    0.00 0.01     -0.01      0.01      0.01      0.02
b1[3,3]            0.00    0.00 0.01     -0.02      0.00      0.00      0.01
