Inference for Stan model: hmm-semisup-orig.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                       mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff    Rhat
theta[1,1]             0.95    0.05  0.05     0.90     0.90     0.95     1.00     1.00     1   23.22
theta[1,2]             0.05    0.05  0.05     0.00     0.00     0.05     0.10     0.10     1   23.22
theta[2,1]             0.05    0.05  0.05     0.00     0.00     0.05     0.10     0.10     1   24.11
theta[2,2]             0.95    0.05  0.05     0.90     0.90     0.95     1.00     1.00     1   24.11
phi[1,1]               0.50    0.50  0.50     0.00     0.00     0.50     1.00     1.00     1 1506.87
phi[1,2]               0.50    0.50  0.50     0.00     0.00     0.50     1.00     1.00     1 1506.87
phi[2,1]               0.50    0.50  0.50     0.00     0.00     0.50     1.00     1.00     1 9417.14
phi[2,2]               0.50    0.50  0.50     0.00     0.00     0.50     1.00     1.00     1 9417.14
prior_alpha[1]         0.50    0.01  0.05     0.40     0.47     0.50     0.54     0.62    33    1.02
prior_alpha[2]         0.41    0.04  0.06     0.29     0.38     0.42     0.46     0.52     2    1.28
prior_beta[1]          0.03    0.19  0.20    -0.30    -0.15    -0.05     0.25     0.34     1    2.82
prior_beta[2]          0.04    0.26  0.27    -0.38    -0.21     0.02     0.30     0.44     1    4.34
y_star[1,1]            2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[1,2]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,3]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,4]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,5]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,6]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,7]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,8]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,9]            1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[1,10]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[2,1]            2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
